experiment,family,contrast,method,initialization,interior_points,reference_grid_size,runs,feasible_runs,feasibility_rate,solver_success_rate,median_evaluated_cost_s,median_clearance_m,median_stationarity_norm,median_actual_interior_points,mean_reference_difference_percent,median_reference_difference_percent,bootstrap_95_low_percent,bootstrap_95_high_percent,median_runtime_s,reference_unresolved_runs,failure_modes,termination_modes
baseline,ridge_pass,,euler_lagrange,straight,64,,20,9,0.45,0.45,722.7884596914238,75.50744426299076,231.17499868802213,64.0,-0.058777303110569695,-0.05791910936597841,-0.06051333962610357,-0.05722535762854031,0.9911930054950062,0,stagnated:11,stagnated:11; stationary:9
baseline,ridge_pass,,fast_marching,fast_marching,,1025,20,20,1.0,1.0,731.4785040715269,65.19632216206844,,,0.0,0.0,0.0,0.0,17.4666178675252,0,,converged:20
baseline,ridge_pass,,fast_marching,fast_marching,,257,20,20,1.0,1.0,732.6024579901177,65.02032210714373,,,0.16343902563206852,0.16391638708975598,0.15867003913443525,0.16835435848869573,2.153181883477373,0,,converged:20
baseline,ridge_pass,,fast_marching,fast_marching,,513,20,20,1.0,1.0,731.92373379681,65.19505278432052,,,0.0589105488705177,0.05775036718524358,0.0563352772981707,0.061418152363375465,5.364961564511759,0,,converged:20
baseline,ridge_pass,,slsqp,arc_left,128,,20,0,0.0,0.0,,,0.8720261432869532,128.0,,,,,46.96696378249908,0,optimization_failed:11; timeout:9,optimization_failed:11; timeout:9
baseline,ridge_pass,,slsqp,arc_left,32,,20,15,0.75,0.0,747.389702501433,60.59977329624685,0.05011824915131191,32.0,1.858214164649525,-0.05574141380695638,0.4170809556666294,3.7653669807020447,6.057611035503214,0,nonstationary:11; optimization_failed:9,nonstationary:11; optimization_failed:9
baseline,ridge_pass,,slsqp,arc_left,64,,20,10,0.5,0.0,745.5823312446566,60.543151091469355,0.1362065093805767,64.0,1.363497699089601,-0.0592660186480993,-0.06131727340205557,4.211489822514215,28.28476717750891,0,nonstationary:9; optimization_failed:7; timeout:4,nonstationary:9; optimization_failed:7; timeout:4
baseline,ridge_pass,,slsqp,arc_right,128,,20,0,0.0,0.0,,,0.9455963782087491,128.0,,,,,36.0077582524973,0,optimization_failed:12; timeout:8,optimization_failed:12; timeout:8
baseline,ridge_pass,,slsqp,arc_right,32,,20,14,0.7,0.0,730.8139113671759,62.68340267903986,0.09453502912316009,32.0,0.5038621281593496,-0.05882252309863742,-0.05918472067488479,1.4384476297298479,15.255412658501882,0,nonstationary:12; optimization_failed:5; timeout:3,nonstationary:12; optimization_failed:5; timeout:3
baseline,ridge_pass,,slsqp,arc_right,64,,20,3,0.15,0.0,729.5856831041032,72.13470573106656,0.826164381995474,64.0,3.4487244755869497,0.43914592007285025,-0.05971022283386618,9.966737729521865,49.26894955598982,0,nonstationary:1; optimization_failed:11; timeout:8,nonstationary:1; optimization_failed:11; timeout:8
