case_id,initialization,interior_points,seed_hash_match,euler_feasible,slsqp_feasible,slsqp_minus_euler_percent
contrast-correlated_roughness-s00-c4p0,arc_left,64,True,True,True,-65.11587908743434
contrast-correlated_roughness-s00-c4p0,arc_right,64,True,False,True,
contrast-correlated_roughness-s00-c4p0,barrier,64,True,True,True,-43.72407234214798
contrast-correlated_roughness-s00-c4p0,fast_marching,64,True,True,True,-0.11072962961488816
contrast-correlated_roughness-s00-c4p0,straight,64,True,True,True,-43.72407237408477
contrast-dead_ends-s00-c0p0,arc_left,64,False,False,False,
contrast-dead_ends-s00-c0p0,arc_right,64,False,False,False,
contrast-dead_ends-s00-c0p0,barrier,64,True,False,True,
contrast-dead_ends-s00-c0p0,fast_marching,64,False,False,False,
contrast-dead_ends-s00-c0p0,straight,64,False,False,False,
contrast-dead_ends-s00-c1p0,arc_left,64,True,False,False,
contrast-dead_ends-s00-c1p0,arc_right,64,False,False,False,
contrast-dead_ends-s00-c1p0,barrier,64,True,False,True,
contrast-dead_ends-s00-c1p0,fast_marching,64,True,True,True,0.0006052103043565004
contrast-dead_ends-s00-c1p0,straight,64,False,False,False,
contrast-dead_ends-s00-c2p0,arc_left,64,True,False,False,
contrast-dead_ends-s00-c2p0,arc_right,64,True,False,False,
contrast-dead_ends-s00-c2p0,barrier,64,True,True,True,-80.32699403092927
contrast-dead_ends-s00-c2p0,fast_marching,64,True,True,True,0.0005834133930984055
contrast-dead_ends-s00-c2p0,straight,64,False,False,False,
contrast-dead_ends-s00-c4p0,arc_left,64,True,False,False,
contrast-dead_ends-s00-c4p0,arc_right,64,True,False,False,
contrast-dead_ends-s00-c4p0,barrier,64,True,True,True,-51.44299182512256
contrast-dead_ends-s00-c4p0,fast_marching,64,True,True,True,0.0005761424243783075
contrast-dead_ends-s00-c4p0,straight,64,False,False,False,
contrast-ridge_pass-s00-c0p0,arc_left,64,False,True,False,
contrast-ridge_pass-s00-c0p0,arc_right,64,False,True,False,
contrast-ridge_pass-s00-c0p0,barrier,64,True,True,True,0.0
contrast-ridge_pass-s00-c0p0,fast_marching,64,True,True,True,1.2519294691835308e-08
contrast-ridge_pass-s00-c0p0,straight,64,True,True,True,0.0
contrast-ridge_pass-s00-c1p0,arc_left,64,True,False,False,
contrast-ridge_pass-s00-c1p0,arc_right,64,True,False,True,
contrast-ridge_pass-s00-c1p0,barrier,64,True,True,True,4.3530050420688856e-05
contrast-ridge_pass-s00-c1p0,fast_marching,64,True,True,True,4.3499682253377625e-05
contrast-ridge_pass-s00-c1p0,straight,64,True,True,True,4.349967860940271e-05
contrast-ridge_pass-s00-c2p0,arc_left,64,True,False,False,
contrast-ridge_pass-s00-c2p0,arc_right,64,True,False,True,
contrast-ridge_pass-s00-c2p0,barrier,64,True,False,True,
contrast-ridge_pass-s00-c2p0,fast_marching,64,True,True,True,8.568564808731005e-05
contrast-ridge_pass-s00-c2p0,straight,64,True,False,True,
contrast-ridge_pass-s00-c4p0,arc_left,64,True,False,False,
contrast-ridge_pass-s00-c4p0,arc_right,64,True,False,True,
contrast-ridge_pass-s00-c4p0,barrier,64,True,False,True,
contrast-ridge_pass-s00-c4p0,fast_marching,64,True,True,True,0.00013004859854058462
contrast-ridge_pass-s00-c4p0,straight,64,True,False,True,
correlated_roughness-s00,arc_left,32,True,False,True,
correlated_roughness-s00,arc_left,64,True,False,True,
correlated_roughness-s00,arc_left,128,False,False,False,
correlated_roughness-s00,arc_right,32,True,True,True,-16.46734879174699
correlated_roughness-s00,arc_right,64,True,True,True,-16.456889062146136
correlated_roughness-s00,arc_right,128,False,True,False,
correlated_roughness-s00,barrier,32,True,True,True,-4.651195918334712
correlated_roughness-s00,barrier,64,True,True,True,-4.648399132683215
correlated_roughness-s00,barrier,128,False,True,False,
correlated_roughness-s00,fast_marching,32,True,True,True,0.0016417355315287614
correlated_roughness-s00,fast_marching,64,True,True,True,0.0005116794250591159
correlated_roughness-s00,fast_marching,128,False,True,False,
correlated_roughness-s00,straight,32,True,True,True,-4.651195923824597
correlated_roughness-s00,straight,64,True,True,True,-4.648399139165887
correlated_roughness-s00,straight,128,False,True,False,
correlated_roughness-s01,arc_left,32,True,False,True,
correlated_roughness-s01,arc_left,64,True,False,True,
correlated_roughness-s01,arc_left,128,False,False,False,
correlated_roughness-s01,arc_right,32,True,False,True,
correlated_roughness-s01,arc_right,64,True,False,True,
correlated_roughness-s01,arc_right,128,False,False,False,
correlated_roughness-s01,barrier,32,True,True,True,-15.115265182475186
correlated_roughness-s01,barrier,64,True,True,True,-15.065088572158784
